Year,Region,tree_cover_ha
2000,Philippines,17955459.58
2001,Philippines,17922491.27
2002,Philippines,17891233.58
2003,Philippines,17856904.89
2004,Philippines,17810739.85
2005,Philippines,17762748.16
2006,Philippines,17707673.15
2007,Philippines,17643687.77
2008,Philippines,17606026.31
2009,Philippines,17547440.12
2010,Philippines,17450240.95
2011,Philippines,17418721.31
2012,Philippines,17362508.31
2013,Philippines,17306526.72
2014,Philippines,17210783.74
2015,Philippines,17147671.68
2016,Philippines,17024824.57
2017,Philippines,16916697.1
2018,Philippines,16849285.26
2019,Philippines,16788470.89
2020,Philippines,16727870.56
2000,NCR,3005.784135
2001,NCR,3004.144981
2002,NCR,2998.333305
2003,NCR,2996.545228
2004,NCR,2995.055
2005,NCR,2991.999957
2006,NCR,2979.99339
2007,NCR,2964.635641
2008,NCR,2961.504895
2009,NCR,2956.290941
2010,NCR,2949.808275
2011,NCR,2949.584848
2012,NCR,2942.057466
2013,NCR,2940.716179
2014,NCR,2939.150948
2015,NCR,2939.001871
2016,NCR,2928.641763
2017,NCR,2927.747066
2018,NCR,2927.001959
2019,NCR,2924.320382
2020,NCR,2922.756443
2000,CAR,1309864.244
2001,CAR,1308330.122
2002,CAR,1306289.981
2003,CAR,1304379.001
2004,CAR,1301515.952
2005,CAR,1298292.822
2006,CAR,1294814.443
2007,CAR,1291020.171
2008,CAR,1289227.902
2009,CAR,1285371.826
2010,CAR,1281115.017
2011,CAR,1279184.49
2012,CAR,1276949.459
2013,CAR,1273888.226
2014,CAR,1270947.442
2015,CAR,1267750.823
2016,CAR,1261141.631
2017,CAR,1254803.027
2018,CAR,1247982.85
2019,CAR,1245190.2
2020,CAR,1241742.77
2000,I - Ilocos Region,529225.1767
2001,I - Ilocos Region,528930.4138
2002,I - Ilocos Region,528281.0099
2003,I - Ilocos Region,528168.6711
2004,I - Ilocos Region,527680.0477
2005,I - Ilocos Region,527344.5802
2006,I - Ilocos Region,526917.0357
2007,I - Ilocos Region,526582.1789
2008,I - Ilocos Region,526179.3639
2009,I - Ilocos Region,525377.2144
2010,I - Ilocos Region,524746.4634
2011,I - Ilocos Region,524546.0117
2012,I - Ilocos Region,524170.6971
2013,I - Ilocos Region,523843.1861
2014,I - Ilocos Region,523473.8379
2015,I - Ilocos Region,523314.3775
2016,I - Ilocos Region,522745.6665
2017,I - Ilocos Region,522271.7873
2018,I - Ilocos Region,522005.2097
2019,I - Ilocos Region,521811.7557
2020,I - Ilocos Region,521598.6974
2000,II - Cagayan Valley,1548598.402
2001,II - Cagayan Valley,1546496.123
2002,II - Cagayan Valley,1543268.368
2003,II - Cagayan Valley,1533679.463
2004,II - Cagayan Valley,1530684.667
2005,II - Cagayan Valley,1525888.43
2006,II - Cagayan Valley,1519293.93
2007,II - Cagayan Valley,1512168.232
2008,II - Cagayan Valley,1508761.452
2009,II - Cagayan Valley,1503315.091
2010,II - Cagayan Valley,1495528.601
2011,II - Cagayan Valley,1491491.674
2012,II - Cagayan Valley,1485276.133
2013,II - Cagayan Valley,1481783.899
2014,II - Cagayan Valley,1478798.535
2015,II - Cagayan Valley,1475580.95
2016,II - Cagayan Valley,1469202.915
2017,II - Cagayan Valley,1461837.922
2018,II - Cagayan Valley,1453503.05
2019,II - Cagayan Valley,1450554.409
2020,II - Cagayan Valley,1446627.21
2000,III - Central Luzon,920249.5422
2001,III - Central Luzon,918681.9665
2002,III - Central Luzon,916984.4616
2003,III - Central Luzon,915542.1071
2004,III - Central Luzon,914005.5786
2005,III - Central Luzon,912124.2018
2006,III - Central Luzon,909774.7907
2007,III - Central Luzon,907426.9192
2008,III - Central Luzon,906325.1312
2009,III - Central Luzon,904062.1939
2010,III - Central Luzon,901652.3904
2011,III - Central Luzon,900335.2995
2012,III - Central Luzon,898220.0344
2013,III - Central Luzon,896989.4259
2014,III - Central Luzon,895707.6891
2015,III - Central Luzon,894734.2121
2016,III - Central Luzon,891783.3285
2017,III - Central Luzon,889680.4145
2018,III - Central Luzon,888263.9728
2019,III - Central Luzon,887631.3554
2020,III - Central Luzon,886675.2542
2000,Region IV-A - CALABARZON,1095607.231
2001,Region IV-A - CALABARZON,1091852.309
2002,Region IV-A - CALABARZON,1089989.564
2003,Region IV-A - CALABARZON,1088299.777
2004,Region IV-A - CALABARZON,1086102.653
2005,Region IV-A - CALABARZON,1082800.796
2006,Region IV-A - CALABARZON,1077452.231
2007,Region IV-A - CALABARZON,1075259.667
2008,Region IV-A - CALABARZON,1071725.433
2009,Region IV-A - CALABARZON,1068312.111
2010,Region IV-A - CALABARZON,1057204.357
2011,Region IV-A - CALABARZON,1056786.141
2012,Region IV-A - CALABARZON,1051656.617
2013,Region IV-A - CALABARZON,1050231.924
2014,Region IV-A - CALABARZON,1046464.794
2015,Region IV-A - CALABARZON,1045557.59
2016,Region IV-A - CALABARZON,1041975.178
2017,Region IV-A - CALABARZON,1038727.038
2018,Region IV-A - CALABARZON,1036865.159
2019,Region IV-A - CALABARZON,1034613.711
2020,Region IV-A - CALABARZON,1032291.618
2000,Region IV-B - MIMAROPA,1983506.574
2001,Region IV-B - MIMAROPA,1979637.802
2002,Region IV-B - MIMAROPA,1976621.923
2003,Region IV-B - MIMAROPA,1972796.612
2004,Region IV-B - MIMAROPA,1965720.796
2005,Region IV-B - MIMAROPA,1957737.51
2006,Region IV-B - MIMAROPA,1949700.579
2007,Region IV-B - MIMAROPA,1936885.937
2008,Region IV-B - MIMAROPA,1930760.981
2009,Region IV-B - MIMAROPA,1923555.544
2010,Region IV-B - MIMAROPA,1906152.778
2011,Region IV-B - MIMAROPA,1904310.928
2012,Region IV-B - MIMAROPA,1896574.138
2013,Region IV-B - MIMAROPA,1890153.074
2014,Region IV-B - MIMAROPA,1876164.793
2015,Region IV-B - MIMAROPA,1859333.183
2016,Region IV-B - MIMAROPA,1828457
2017,Region IV-B - MIMAROPA,1808454.352
2018,Region IV-B - MIMAROPA,1797653.198
2019,Region IV-B - MIMAROPA,1783420.527
2020,Region IV-B - MIMAROPA,1769811.35
2000,V - Bicol Region,1127872.923
2001,V - Bicol Region,1125713.623
2002,V - Bicol Region,1125029.967
2003,V - Bicol Region,1123986.017
2004,V - Bicol Region,1121296.751
2005,V - Bicol Region,1119534.596
2006,V - Bicol Region,1114609.101
2007,V - Bicol Region,1111468.572
2008,V - Bicol Region,1109720.559
2009,V - Bicol Region,1107048.516
2010,V - Bicol Region,1101884.119
2011,V - Bicol Region,1101097.025
2012,V - Bicol Region,1098686.904
2013,V - Bicol Region,1097732.053
2014,V - Bicol Region,1095733.497
2015,V - Bicol Region,1094750.359
2016,V - Bicol Region,1091567.832
2017,V - Bicol Region,1087186.941
2018,V - Bicol Region,1085845.126
2019,V - Bicol Region,1084527.384
2020,V - Bicol Region,1082385.897
2000,VI - Western Visayas,766925.3841
2001,VI - Western Visayas,765201.5891
2002,VI - Western Visayas,764434.6427
2003,VI - Western Visayas,763979.8047
2004,VI - Western Visayas,762979.6374
2005,VI - Western Visayas,761885.0766
2006,VI - Western Visayas,760154.5158
2007,VI - Western Visayas,758599.5181
2008,VI - Western Visayas,756696.8885
2009,VI - Western Visayas,754810.9277
2010,VI - Western Visayas,752881.2549
2011,VI - Western Visayas,752144.4093
2012,VI - Western Visayas,749149.8191
2013,VI - Western Visayas,747798.3745
2014,VI - Western Visayas,746165.9474
2015,VI - Western Visayas,745705.5747
2016,VI - Western Visayas,742943.6124
2017,VI - Western Visayas,739730.2158
2018,VI - Western Visayas,738266.5544
2019,VI - Western Visayas,736742.6731
2020,VI - Western Visayas,735763.6827
2000,VII - Central Visayas,625843.9251
2001,VII - Central Visayas,624845.7826
2002,VII - Central Visayas,623989.4051
2003,VII - Central Visayas,623379.3668
2004,VII - Central Visayas,622450.0479
2005,VII - Central Visayas,621165.0807
2006,VII - Central Visayas,619925.0669
2007,VII - Central Visayas,618169.0411
2008,VII - Central Visayas,617439.5331
2009,VII - Central Visayas,614511.2533
2010,VII - Central Visayas,612483.9147
2011,VII - Central Visayas,611355.4109
2012,VII - Central Visayas,610087.7767
2013,VII - Central Visayas,609560.8593
2014,VII - Central Visayas,608929.2286
2015,VII - Central Visayas,608648.0947
2016,VII - Central Visayas,607421.9786
2017,VII - Central Visayas,605376.3859
2018,VII - Central Visayas,604669.0548
2019,VII - Central Visayas,604244.2689
2020,VII - Central Visayas,603835.9207
2000,VIII - Eastern Visayas,1761019.202
2001,VIII - Eastern Visayas,1757862.388
2002,VIII - Eastern Visayas,1754766.233
2003,VIII - Eastern Visayas,1752629.903
2004,VIII - Eastern Visayas,1749296.402
2005,VIII - Eastern Visayas,1745247.988
2006,VIII - Eastern Visayas,1742470.791
2007,VIII - Eastern Visayas,1737658.098
2008,VIII - Eastern Visayas,1736135.725
2009,VIII - Eastern Visayas,1730988.445
2010,VIII - Eastern Visayas,1722774.883
2011,VIII - Eastern Visayas,1720003.055
2012,VIII - Eastern Visayas,1718053.836
2013,VIII - Eastern Visayas,1702153.647
2014,VIII - Eastern Visayas,1676657.654
2015,VIII - Eastern Visayas,1672859.484
2016,VIII - Eastern Visayas,1663761.538
2017,VIII - Eastern Visayas,1655401.449
2018,VIII - Eastern Visayas,1652665.512
2019,VIII - Eastern Visayas,1648444.356
2020,VIII - Eastern Visayas,1641424.894
2000,IX - Zamboanga Peninsula,953903.479
2001,IX - Zamboanga Peninsula,951818.5798
2002,IX - Zamboanga Peninsula,948925.8942
2003,IX - Zamboanga Peninsula,944936.4046
2004,IX - Zamboanga Peninsula,941262.0201
2005,IX - Zamboanga Peninsula,936636.1262
2006,IX - Zamboanga Peninsula,933716.2878
2007,IX - Zamboanga Peninsula,926681.5577
2008,IX - Zamboanga Peninsula,923570.8256
2009,IX - Zamboanga Peninsula,917537.5834
2010,IX - Zamboanga Peninsula,911568.8056
2011,IX - Zamboanga Peninsula,909303.519
2012,IX - Zamboanga Peninsula,905610.9899
2013,IX - Zamboanga Peninsula,902832.8488
2014,IX - Zamboanga Peninsula,898201.5885
2015,IX - Zamboanga Peninsula,891293.0075
2016,IX - Zamboanga Peninsula,877043.2721
2017,IX - Zamboanga Peninsula,868719.4354
2018,IX - Zamboanga Peninsula,862546.4736
2019,IX - Zamboanga Peninsula,856139.9796
2020,IX - Zamboanga Peninsula,850666.2811
2000,X - Northern Mindanao,1078074.545
2001,X - Northern Mindanao,1077251.194
2002,X - Northern Mindanao,1076392.554
2003,X - Northern Mindanao,1075728.06
2004,X - Northern Mindanao,1074268.28
2005,X - Northern Mindanao,1072472.299
2006,X - Northern Mindanao,1070645.847
2007,X - Northern Mindanao,1068442.894
2008,X - Northern Mindanao,1067247.06
2009,X - Northern Mindanao,1065325.283
2010,X - Northern Mindanao,1060642.907
2011,X - Northern Mindanao,1059345.559
2012,X - Northern Mindanao,1057493.814
2013,X - Northern Mindanao,1056226.758
2014,X - Northern Mindanao,1053387.146
2015,X - Northern Mindanao,1050989.948
2016,X - Northern Mindanao,1044838.696
2017,X - Northern Mindanao,1040243.177
2018,X - Northern Mindanao,1037800.551
2019,X - Northern Mindanao,1035315.086
2020,X - Northern Mindanao,1032888.339
2000,XI - Davao Region,1084279.718
2001,XI - Davao Region,1082001.278
2002,XI - Davao Region,1080076.813
2003,XI - Davao Region,1078989.622
2004,XI - Davao Region,1075957.916
2005,XI - Davao Region,1073730.485
2006,XI - Davao Region,1070847.362
2007,XI - Davao Region,1067418.501
2008,XI - Davao Region,1065925.323
2009,XI - Davao Region,1062651.383
2010,XI - Davao Region,1057563.296
2011,XI - Davao Region,1055303.225
2012,XI - Davao Region,1051280.156
2013,XI - Davao Region,1040444.137
2014,XI - Davao Region,1032627.88
2015,XI - Davao Region,1029248.865
2016,XI - Davao Region,1021369.388
2017,XI - Davao Region,1012592.587
2018,XI - Davao Region,1006816.828
2019,XI - Davao Region,1002237.72
2020,XI - Davao Region,997668.617
2000,XII - SOCCSKSARGEN,691796.9077
2001,XII - SOCCSKSARGEN,690877.3826
2002,XII - SOCCSKSARGEN,689736.2446
2003,XII - SOCCSKSARGEN,688787.5986
2004,XII - SOCCSKSARGEN,687077.0134
2005,XII - SOCCSKSARGEN,685381.1872
2006,XII - SOCCSKSARGEN,682683.6912
2007,XII - SOCCSKSARGEN,679871.2194
2008,XII - SOCCSKSARGEN,677808.3683
2009,XII - SOCCSKSARGEN,675909.2881
2010,XII - SOCCSKSARGEN,670904.5803
2011,XII - SOCCSKSARGEN,669478.5975
2012,XII - SOCCSKSARGEN,667346
2013,XII - SOCCSKSARGEN,666330.1909
2014,XII - SOCCSKSARGEN,663834.6689
2015,XII - SOCCSKSARGEN,661638.8808
2016,XII - SOCCSKSARGEN,657527.4614
2017,XII - SOCCSKSARGEN,652627.5179
2018,XII - SOCCSKSARGEN,649234.0239
2019,XII - SOCCSKSARGEN,646890.2257
2020,XII - SOCCSKSARGEN,644976.1643
2000,XIII - Caraga Region,1627355.66
2001,XIII - Caraga Region,1622727.377
2002,XIII - Caraga Region,1618020.905
2003,XIII - Caraga Region,1615330.674
2004,XIII - Caraga Region,1605619.501
2005,XIII - Caraga Region,1599734.174
2006,XIII - Caraga Region,1593624.175
2007,XIII - Caraga Region,1588182.514
2008,XIII - Caraga Region,1582856.26
2009,XIII - Caraga Region,1575853.819
2010,XIII - Caraga Region,1566731.088
2011,XIII - Caraga Region,1558919.585
2012,XIII - Caraga Region,1548670.082
2013,XIII - Caraga Region,1544573.323
2014,XIII - Caraga Region,1524931.621
2015,XIII - Caraga Region,1509890.076
2016,XIII - Caraga Region,1494262.97
2017,XIII - Caraga Region,1475123.9
2018,XIII - Caraga Region,1465034.896
2019,XIII - Caraga Region,1453737.103
2020,XIII - Caraga Region,1445024.701
2000,BARMM,848330.8792
2001,BARMM,847259.1914
2002,BARMM,845427.2827
2003,BARMM,843295.2645
2004,BARMM,841827.5333
2005,BARMM,839780.803
2006,BARMM,838063.3035
2007,BARMM,834888.1092
2008,BARMM,832684.001
2009,BARMM,829853.3465
2010,BARMM,823456.6905
2011,BARMM,822166.7945
2012,BARMM,820339.7993
2013,BARMM,819044.081
2014,BARMM,815818.2697
2015,BARMM,813437.2512
2016,BARMM,805853.4655
2017,BARMM,800993.2091
2018,BARMM,797205.8021
2019,BARMM,794045.8158
2020,BARMM,791566.4065
